,美食,酒店,购物中心$百货商场$$家居建材$家电数码,超市$便利店$商铺,生活服务,美容$美发,旅游景点,休闲娱乐,运动健身,教育培训,医疗,汽车服务,飞机场$火车站$地铁站$加油加气站$长途汽车站$公交车站$公交线路口,银行$ATM$信用社,住宅区$宿舍,公司$写字楼,政府机构
138,24,0,0,8,1,0,1,1,0,0,0,1,1,0,25,7,1
139,60,11,61,109,50,43,1,27,4,4,11,6,9,3,43,50,2
140,60,15,61,101,28,13,4,10,2,0,14,10,14,16,54,73,31
141,60,17,61,79,60,48,3,27,10,21,30,18,10,49,120,82,22
142,60,10,10,99,46,41,1,22,2,4,21,3,6,27,102,86,12
143,60,25,18,113,60,24,2,30,5,5,12,15,18,24,83,100,23
144,60,60,47,173,60,76,20,60,14,18,41,12,15,58,120,114,60
145,60,29,21,134,60,83,21,39,10,12,43,4,16,54,96,91,60
146,60,26,25,134,60,46,2,15,9,8,28,11,16,35,120,70,48
147,60,25,37,117,60,37,8,21,6,12,58,6,8,31,104,73,23
148,53,22,6,43,49,19,33,14,3,3,4,4,7,3,103,39,13
149,3,3,0,0,1,0,1,1,0,0,0,0,1,0,53,2,1
150,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
152,3,1,8,17,5,2,1,0,0,1,1,2,4,3,37,10,3
153,8,0,34,12,6,2,1,1,2,0,1,8,5,0,5,54,2
154,31,3,36,59,11,10,2,4,0,0,6,10,10,3,25,41,3
155,60,27,19,126,60,59,2,43,3,6,19,29,12,26,108,75,27
156,60,27,32,143,60,63,16,30,10,11,33,7,11,35,92,46,24
157,18,12,1,28,11,10,0,4,1,3,1,4,9,3,62,17,4
158,60,13,14,64,15,41,6,39,15,3,5,10,22,43,55,89,39
159,60,60,49,139,60,89,8,60,6,7,44,11,16,23,120,118,44
160,60,20,75,180,60,46,25,43,2,7,40,2,9,35,106,85,60
161,60,23,24,112,60,34,7,28,5,11,19,7,18,37,109,84,24
162,60,36,19,89,60,38,5,21,10,13,18,21,14,9,120,76,14
163,26,12,3,54,47,9,2,9,1,3,7,7,7,9,93,42,4
164,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0
165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
168,6,0,7,6,1,0,0,0,0,2,0,0,2,5,4,13,0
169,30,2,8,32,21,6,2,3,1,0,4,7,7,0,12,29,2
170,60,23,16,102,60,37,1,34,4,3,19,26,7,17,107,66,13
171,60,21,32,148,60,77,14,44,11,11,46,3,14,45,107,82,60
172,60,9,50,106,53,31,22,18,3,4,38,20,15,11,93,72,40
173,27,6,11,26,32,31,1,8,2,0,9,3,12,11,87,51,28
